"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","created2"
"1","RT @prensa_libre: #URGENTE | La @ConredGuatemala reporta un nuevo colapso de drenajes en la 30 calle final del bulevar Sur de Ciudad San Cr…",FALSE,0,NA,2018-10-19 23:52:54,FALSE,NA,"1053433843221516288",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MayraSiliezar1",3,TRUE,FALSE,NA,NA,2018-10-19 17:52:54
"2","RT @andyfmz: @DTransitoPNC @traficogt @amilcarmontejo hubo un accidente frente a villas de Barberena sobre CA1 y la gente estupida se esta…",FALSE,0,NA,2018-10-19 23:51:58,FALSE,NA,"1053433608650792961",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","carlosnavarijo1",6,TRUE,FALSE,NA,NA,2018-10-19 17:51:58
"3","@porque1111 @traficogt @PMT_VILLANUEVA @SantosDalia @amilcarmontejo Yo vengo de allí ahora, me hice 40 minutos para recorrer 2 km <U+0001F635>",FALSE,0,"porque1111",2018-10-19 23:51:27,FALSE,"1053298928182018049","1053433479059386368","823920645675294720","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nedra72",0,FALSE,FALSE,NA,NA,2018-10-19 17:51:27
"4","RT @hombretraficogt: Cerrarán puente Belice <U+0001F6D1>

Informa @CIVguate que será este domingo 21 de octubre 2018, de 05:00 a 08:00 horas.

Cc #tra…",FALSE,0,NA,2018-10-19 23:51:21,FALSE,NA,"1053433453155356672",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MayraSiliezar1",8,TRUE,FALSE,NA,NA,2018-10-19 17:51:21
"5","@traficogt les comento que la entrada a Bárcenas por la Interamericana está imposible, detuvieron el tráfico a quie… https://t.co/Ers8GDIdb8",FALSE,0,"traficogt",2018-10-19 23:50:31,TRUE,NA,"1053433243603734529","93938886","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nedra72",0,FALSE,FALSE,NA,NA,2018-10-19 17:50:31
"6","@sonora969 @traficogt desastre total otra hora en la avenida hincapie @muniguate @amilcarmontejo 

haran algo algun… https://t.co/hsrLm0tVEQ",FALSE,0,"gramirezp1",2018-10-19 23:48:46,TRUE,"1053124484067180549","1053432801779949568","542170266","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gramirezp1",0,FALSE,FALSE,NA,NA,2018-10-19 17:48:46
"7","@porque1111 @traficogt @PMT_VILLANUEVA @SantosDalia @amilcarmontejo Los proceres esta de locos el trafico",FALSE,0,"porque1111",2018-10-19 23:48:12,FALSE,"1053298928182018049","1053432659689594880","823920645675294720","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rodolfo79305083",0,FALSE,FALSE,NA,NA,2018-10-19 17:48:12
"8","RT @prensa_libre: #URGENTE | La @ConredGuatemala reporta un nuevo colapso de drenajes en la 30 calle final del bulevar Sur de Ciudad San Cr…",FALSE,0,NA,2018-10-19 23:47:01,FALSE,NA,"1053432363538173957",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TephizG",3,TRUE,FALSE,NA,NA,2018-10-19 17:47:01
"9","RT @EveeHernandez6: @amilcarmontejo  #traficogt periférico Norte camion con desperfectos https://t.co/tuRIzySDZk",FALSE,0,NA,2018-10-19 23:44:17,FALSE,NA,"1053431672706920448",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MayraSiliezar1",5,TRUE,FALSE,NA,NA,2018-10-19 17:44:17
"10","RT @andyfmz: @DTransitoPNC @traficogt @amilcarmontejo hubo un accidente frente a villas de Barberena sobre CA1 y la gente estupida se esta…",FALSE,0,NA,2018-10-19 23:43:36,FALSE,NA,"1053431499842904066",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","foto_jcestrada",6,TRUE,FALSE,NA,NA,2018-10-19 17:43:36
